observation_date,DEXUSEU
2005-01-03,1.3476
2005-01-04,1.3295
2005-01-05,1.3292
2005-01-06,1.3187
2005-01-07,1.3062
2005-01-10,1.3109
2005-01-11,1.3161
2005-01-12,1.3281
2005-01-13,1.3207
2005-01-14,1.3106
2005-01-17,
2005-01-18,1.3043
2005-01-19,1.3036
2005-01-20,1.2959
2005-01-21,1.3049
2005-01-24,1.3041
2005-01-25,1.2954
2005-01-26,1.3081
2005-01-27,1.3032
2005-01-28,1.3033
2005-01-31,1.3049
2005-02-01,1.3017
2005-02-02,1.3015
2005-02-03,1.2959
2005-02-04,1.2927
2005-02-07,1.2773
2005-02-08,1.2783
2005-02-09,1.2797
2005-02-10,1.2882
2005-02-11,1.2864
2005-02-14,1.2981
2005-02-15,1.2986
2005-02-16,1.2994
2005-02-17,1.3083
2005-02-18,1.3075
2005-02-21,
2005-02-22,1.3230
2005-02-23,1.3208
2005-02-24,1.3205
2005-02-25,1.3195
2005-02-28,1.3274
2005-03-01,1.3189
2005-03-02,1.3127
2005-03-03,1.3130
2005-03-04,1.3244
2005-03-07,1.3203
2005-03-08,1.3342
2005-03-09,1.3384
2005-03-10,1.3409
2005-03-11,1.3465
2005-03-14,1.3346
2005-03-15,1.3315
2005-03-16,1.3423
2005-03-17,1.3373
2005-03-18,1.3311
2005-03-21,1.3165
2005-03-22,1.3210
2005-03-23,1.3005
2005-03-24,1.2957
2005-03-25,1.2954
2005-03-28,1.2877
2005-03-29,1.2913
2005-03-30,1.2944
2005-03-31,1.2969
2005-04-01,1.2896
2005-04-04,1.2838
2005-04-05,1.2842
2005-04-06,1.2868
2005-04-07,1.2906
2005-04-08,1.2912
2005-04-11,1.2972
2005-04-12,1.2873
2005-04-13,1.2918
2005-04-14,1.2819
2005-04-15,1.2928
2005-04-18,1.3037
2005-04-19,1.3034
2005-04-20,1.3080
2005-04-21,1.3093
2005-04-22,1.3068
2005-04-25,1.2984
2005-04-26,1.2964
2005-04-27,1.2938
2005-04-28,1.2916
2005-04-29,1.2919
2005-05-02,1.2857
2005-05-03,1.2889
2005-05-04,1.2936
2005-05-05,1.2936
2005-05-06,1.2832
2005-05-09,1.2839
2005-05-10,1.2877
2005-05-11,1.2803
2005-05-12,1.2706
2005-05-13,1.2645
2005-05-16,1.2630
2005-05-17,1.2644
2005-05-18,1.2660
2005-05-19,1.2628
2005-05-20,1.2553
2005-05-23,1.2575
2005-05-24,1.2588
2005-05-25,1.2602
2005-05-26,1.2517
2005-05-27,1.2568
2005-05-30,
2005-05-31,1.2349
2005-06-01,1.2232
2005-06-02,1.2266
2005-06-03,1.2227
2005-06-06,1.2268
2005-06-07,1.2277
2005-06-08,1.2320
2005-06-09,1.2216
2005-06-10,1.2127
2005-06-13,1.2035
2005-06-14,1.2038
2005-06-15,1.2106
2005-06-16,1.2089
2005-06-17,1.2240
2005-06-20,1.2140
2005-06-21,1.2134
2005-06-22,1.2130
2005-06-23,1.2054
2005-06-24,1.2088
2005-06-27,1.2152
2005-06-28,1.2078
2005-06-29,1.2101
2005-06-30,1.2098
2005-07-01,1.1957
2005-07-04,
2005-07-05,1.1917
2005-07-06,1.1918
2005-07-07,1.1928
2005-07-08,1.1934
2005-07-11,1.2066
2005-07-12,1.2200
2005-07-13,1.2090
2005-07-14,1.2089
2005-07-15,1.2037
2005-07-18,1.2077
2005-07-19,1.2001
2005-07-20,1.2046
2005-07-21,1.2113
2005-07-22,1.2079
2005-07-25,1.2054
2005-07-26,1.2007
2005-07-27,1.2048
2005-07-28,1.2121
2005-07-29,1.2129
2005-08-01,1.2195
2005-08-02,1.2209
2005-08-03,1.2337
2005-08-04,1.2383
2005-08-05,1.2327
2005-08-08,1.2361
2005-08-09,1.2347
2005-08-10,1.2345
2005-08-11,1.2434
2005-08-12,1.2428
2005-08-15,1.2362
2005-08-16,1.2342
2005-08-17,1.2290
2005-08-18,1.2178
2005-08-19,1.2147
2005-08-22,1.2235
2005-08-23,1.2213
2005-08-24,1.2239
2005-08-25,1.2311
2005-08-26,1.2324
2005-08-29,1.2248
2005-08-30,1.2204
2005-08-31,1.2330
2005-09-01,1.2447
2005-09-02,1.2538
2005-09-05,
2005-09-06,1.2483
2005-09-07,1.2439
2005-09-08,1.2400
2005-09-09,1.2433
2005-09-12,1.2288
2005-09-13,1.2263
2005-09-14,1.2282
2005-09-15,1.2216
2005-09-16,1.2214
2005-09-19,1.2153
2005-09-20,1.2177
2005-09-21,1.2208
2005-09-22,1.2153
2005-09-23,1.2077
2005-09-26,1.2036
2005-09-27,1.2011
2005-09-28,1.2016
2005-09-29,1.2020
2005-09-30,1.2058
2005-10-03,1.1914
2005-10-04,1.1918
2005-10-05,1.1984
2005-10-06,1.2133
2005-10-07,1.2115
2005-10-10,
2005-10-11,1.2015
2005-10-12,1.2040
2005-10-13,1.1938
2005-10-14,1.2073
2005-10-17,1.2040
2005-10-18,1.1939
2005-10-19,1.1988
2005-10-20,1.1982
2005-10-21,1.1958
2005-10-24,1.1998
2005-10-25,1.2099
2005-10-26,1.2082
2005-10-27,1.2148
2005-10-28,1.2089
2005-10-31,1.1995
2005-11-01,1.1998
2005-11-02,1.2067
2005-11-03,1.1971
2005-11-04,1.1828
2005-11-07,1.1795
2005-11-08,1.1773
2005-11-09,1.1748
2005-11-10,1.1740
2005-11-11,
2005-11-14,1.1667
2005-11-15,1.1695
2005-11-16,1.1672
2005-11-17,1.1706
2005-11-18,1.1741
2005-11-21,1.1734
2005-11-22,1.1737
2005-11-23,1.1799
2005-11-24,
2005-11-25,1.1724
2005-11-28,1.1804
2005-11-29,1.1786
2005-11-30,1.1790
2005-12-01,1.1702
2005-12-02,1.1699
2005-12-05,1.1787
2005-12-06,1.1784
2005-12-07,1.1722
2005-12-08,1.1830
2005-12-09,1.1824
2005-12-12,1.1969
2005-12-13,1.1926
2005-12-14,1.2041
2005-12-15,1.1965
2005-12-16,1.2012
2005-12-19,1.1996
2005-12-20,1.1848
2005-12-21,1.1816
2005-12-22,1.1883
2005-12-23,1.1857
2005-12-26,
2005-12-27,1.1856
2005-12-28,1.1875
2005-12-29,1.1846
2005-12-30,1.1842
