Sample_ID,original_Sample_ID,Extraction_plate_row,Extraction_plate_col,Tube_ID,Extraction_plate
Blank_pool_01,SB_00003_xxx_mid_d,A,X5,504,1
Blank_pool_01,SB_00003_xxx_ile_d,B,X5,512,1
Blank_pool_01,SB_00004_xxx_mid_d,B,X9,779,1
Blank_pool_02,EB_00001_xxx_xxx_d,C,X4,4601,1
Blank_pool_01,SB_00003_xxx_rec_d,C,X5,520,1
Blank_pool_02,EB_00003_xxx_xxx_d,C,X9,4603,1
Blank_pool_01,SB_00002_xxx_mid_d,D,X1,254,1
Blank_pool_01,SB_00004_xxx_ile_d,D,X9,787,1
Blank_pool_01,SB_00002_xxx_ile_d,E,X1,262,1
Blank_pool_01,SB_00004_xxx_rec_d,E,X9,795,1
Blank_pool_01,SB_00002_xxx_rec_d,F,X1,270,1
Blank_pool_02,EB_00002_xxx_xxx_d,F,X4,4602,1
Blank_pool_02,EB_00004_xxx_xxx_d,F,X9,4604,1
Blank_pool_04,EB_00005_xxx_xxx_d,C,X4,4605,2
Blank_pool_04,EB_00007_xxx_xxx_d,C,X9,4607,2
Blank_pool_03,SB_00005_xxx_mid_d,D,X1,1029,2
Blank_pool_03,SB_00007_xxx_mid_d,D,X8,1529,2
Blank_pool_03,SB_00008_xxx_mid_d,D,X12,1779,2
Blank_pool_03,SB_00005_xxx_ile_d,E,X1,1037,2
Blank_pool_03,SB_00006_xxx_mid_d,E,X4,1254,2
Blank_pool_03,SB_00007_xxx_ile_d,E,X8,1537,2
Blank_pool_03,SB_00008_xxx_ile_d,E,X12,1787,2
Blank_pool_03,SB_00005_xxx_rec_d,F,X1,1045,2
Blank_pool_04,EB_00006_xxx_xxx_d,F,X4,4606,2
Blank_pool_03,SB_00007_xxx_rec_d,F,X8,1545,2
Blank_pool_04,EB_00008_xxx_xxx_d,F,X9,4608,2
Blank_pool_03,SB_00008_xxx_rec_d,F,X12,1795,2
Blank_pool_03,SB_00006_xxx_ile_d,G,X4,1262,2
Blank_pool_03,SB_00006_xxx_rec_d,H,X4,1270,2
Blank_pool_06,EB_00009_xxx_xxx_d,C,X4,4609,3
Blank_pool_05,SB_00009_xxx_mid_d,F,X3,2004,3
Blank_pool_05,SB_00010_xxx_mid_d,F,X7,2254,3
Blank_pool_07,EB_00012_xxx_xxx_d,F,X9,4612,3
Blank_pool_08,SB_00011_xxx_mid_d,F,X11,2504,3
Blank_pool_05,SB_00009_xxx_ile_d,G,X3,2012,3
Blank_pool_05,SB_00010_xxx_ile_d,G,X7,2262,3
Blank_pool_08,SB_00011_xxx_ile_d,G,X11,2512,3
Blank_pool_05,SB_00009_xxx_rec_d,H,X3,2020,3
Blank_pool_05,SB_00010_xxx_rec_d,H,X7,2270,3
Blank_pool_08,SB_00011_xxx_rec_d,H,X11,2520,3
Blank_pool_10,EB_00013_xxx_xxx_d,C,X4,4613,4
Blank_pool_11,EB_00015_xxx_xxx_d,C,X9,4615,4
Blank_pool_09,SB_00012_xxx_mid_d,F,X3,2754,4
Blank_pool_10,EB_00014_xxx_xxx_d,F,X4,4614,4
Blank_pool_12,SB_00013_xxx_mid_d,F,X7,3004,4
Blank_pool_11,EB_00016_xxx_xxx_d,F,X9,4616,4
Blank_pool_09,SB_00012_xxx_ile_d,G,X3,2762,4
Blank_pool_12,SB_00013_xxx_ile_d,G,X7,3012,4
Blank_pool_09,SB_00012_xxx_rec_d,H,X3,2770,4
Blank_pool_12,SB_00013_xxx_rec_d,H,X7,3020,4
Blank_pool_13,SB_00014_xxx_rec_d,A,X2,3295,5
Blank_pool_15,SB_00015_xxx_mid_d,C,X5,3504,5
Blank_pool_14,EB_00018_xxx_xxx_d,C,X6,4618,5
Blank_pool_15,SB_00015_xxx_ile_d,D,X5,3512,5
Blank_pool_15,SB_00015_xxx_rec_d,E,X5,3520,5
Blank_pool_14,EB_00017_xxx_xxx_d,F,X3,4617,5
Blank_pool_13,SB_00014_xxx_mid_d,G,X1,3279,5
Blank_pool_13,SB_00014_xxx_ile_d,H,X1,3287,5
Blank_pool_16,SB_00016_xxx_rec_d,A,X2,3770,6
Blank_pool_16,EB_00020_xxx_xxx_d,C,X6,4620,6
Blank_pool_17,SB_00017_xxx_mid_d,F,X5,4004,6
Blank_pool_16,SB_00016_xxx_mid_d,G,X1,3754,6
Blank_pool_17,SB_00017_xxx_ile_d,G,X5,4012,6
Blank_pool_16,SB_00016_xxx_ile_d,H,X1,3762,6
Blank_pool_17,SB_00017_xxx_rec_d,H,X5,4020,6
Blank_pool_18,SB_00019_xxx_mid_d,A,X6,4504,7
Blank_pool_18,SB_00018_xxx_mid_d,B,X2,4254,7
Blank_pool_18,SB_00019_xxx_ile_d,B,X6,4512,7
Blank_pool_18,SB_00018_xxx_ile_d,C,X2,4262,7
Blank_pool_19,EB_00022_xxx_xxx_d,C,X6,4622,7
Blank_pool_18,SB_00018_xxx_rec_d,D,X2,4270,7
Blank_pool_18,SB_00019_xxx_rec_d,D,X6,4520,7
Blank_pool_19,EB_00021_xxx_xxx_d,F,X3,4621,7
